model,runs,success_rate,nonempty_response_rate,mean_ttft_ms,p95_ttft_ms,mean_total_ms,mean_tokens_per_sec,mean_keyword_coverage,mean_response_chars,mean_eval_count,sample_response,dominant_done_reason,error_summary,mean_memory_before_mb,mean_memory_after_mb,mean_memory_delta_mb,mean_cpu_percent,max_cpu_percent,mean_memory_percent,max_memory_percent,mean_swap_after_mb,max_swap_after_mb,mean_swap_delta_mb,warmup_enabled,warmup_success,warmup_ttft_ms,warmup_total_ms,warmup_tokens_per_sec,warmup_eval_count,warmup_response_chars,warmup_done_reason,warmup_error,hailo_cpu_utilization_mean,hailo_cpu_utilization_std,hailo_cpu_utilization_min,hailo_cpu_utilization_max,hailo_cpu_utilization_p50,hailo_cpu_utilization_p95,hailo_cpu_utilization_p99,hailo_ddr_noc_total_transactions_mean,hailo_ddr_noc_total_transactions_std,hailo_ddr_noc_total_transactions_min,hailo_ddr_noc_total_transactions_max,hailo_ddr_noc_total_transactions_p50,hailo_ddr_noc_total_transactions_p95,hailo_ddr_noc_total_transactions_p99,hailo_dsp_utilization_mean,hailo_dsp_utilization_std,hailo_dsp_utilization_min,hailo_dsp_utilization_max,hailo_dsp_utilization_p50,hailo_dsp_utilization_p95,hailo_dsp_utilization_p99,hailo_nnc_utilization_mean,hailo_nnc_utilization_std,hailo_nnc_utilization_min,hailo_nnc_utilization_max,hailo_nnc_utilization_p50,hailo_nnc_utilization_p95,hailo_nnc_utilization_p99,hailo_ram_percent_mean,hailo_ram_percent_std,hailo_ram_percent_min,hailo_ram_percent_max,hailo_ram_percent_p50,hailo_ram_percent_p95,hailo_ram_percent_p99,hailo_ram_total_mb_mean,hailo_ram_total_mb_std,hailo_ram_total_mb_min,hailo_ram_total_mb_max,hailo_ram_total_mb_p50,hailo_ram_total_mb_p95,hailo_ram_total_mb_p99,hailo_ram_used_mb_mean,hailo_ram_used_mb_std,hailo_ram_used_mb_min,hailo_ram_used_mb_max,hailo_ram_used_mb_p50,hailo_ram_used_mb_p95,hailo_ram_used_mb_p99,hailo_temp_c_mean,hailo_temp_c_std,hailo_temp_c_min,hailo_temp_c_max,hailo_temp_c_p50,hailo_temp_c_p95,hailo_temp_c_p99,hailo_ts0_temp_c_mean,hailo_ts0_temp_c_std,hailo_ts0_temp_c_min,hailo_ts0_temp_c_max,hailo_ts0_temp_c_p50,hailo_ts0_temp_c_p95,hailo_ts0_temp_c_p99,hailo_ts1_temp_c_mean,hailo_ts1_temp_c_std,hailo_ts1_temp_c_min,hailo_ts1_temp_c_max,hailo_ts1_temp_c_p50,hailo_ts1_temp_c_p95,hailo_ts1_temp_c_p99,hailo_telemetry_measurement_count
qwen3:1.7b,24,1.0,1.0,662.69,841.59,13208.17,4.899,0.708,87.88,61.38,- 低遅延：エッジAIはリアルタイムで迅速に処理できるため、低遅延通信を確保し、ユーザーの体験を向上させます。 - プライバシー：エッジAIはデータをクラウドに移し、プライバシーを確保し、個人情報の保護を強化しています。 - オフライン：…,stop,,271.34,271.13,-0.21,6.35,100.0,37.74,38.2,6.0,6.0,0.0,True,True,33124.59,36214.17,5.179,16,24,length,,2.5859783177591784,2.7157370340999503,0.0,9.756096839904785,2.5,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.44411678513583,9.992018280051965,0.0,100.0,92.0,100.0,100.0,46.425514596212196,0.024831070820880447,46.321106142731274,46.47179823918503,46.44085930193753,46.44442917931224,46.44480780267016,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3352.7980727351915,1.7932718057365291,3345.2578125,3356.140625,3353.90625,3354.1640625,3354.19140625,43.43857830991313,0.2629938697708845,42.500999450683594,43.891998291015625,43.51249885559082,43.739999771118164,43.79764045715332,43.46983270944203,0.26417727383608963,42.57699966430664,43.94200134277344,43.53799819946289,43.79100036621094,43.891998291015625,43.40732391038423,0.2664485131644433,42.42499923706055,43.891998291015625,43.48699951171875,43.68899917602539,43.79100036621094,287
qwen2:1.5b,24,1.0,1.0,362.83,632.52,8375.78,8.274,0.646,101.38,66.5,エッジAIは、リアルタイムでデータを処理し、リアルタイムで結果を提供する技術です。これにより、一般的に「低遅延」、「プライバシー」「オフライン」という点では優れています。 1. 低遅延: エッジAIは、リアルタイムでデータを処理し、その結…,stop,,269.98,269.48,-0.5,10.53,100.0,37.58,38.7,6.0,6.0,0.0,True,True,20966.63,21695.94,8.227,6,10,stop,,3.7557224808158454,2.267511684292618,0.0,9.523809432983398,4.878048419952393,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.41673698006096,11.395005983212215,0.0,100.0,88.0,100.0,100.0,28.408794682378176,0.05976564675719154,28.23762185587107,28.49470711590148,28.429881388119774,28.49129950568016,28.49394986918563,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2051.6509701236264,4.316207305532673,2039.2890625,2057.85546875,2053.173828125,2057.609375,2057.80078125,43.795928514920746,0.2654060516000185,42.80400085449219,44.34749984741211,43.89150047302246,44.09274988174438,44.200249347686764,43.833181423145334,0.26677684186611683,42.880001068115234,44.39799880981445,43.94200134277344,44.14500045776367,44.297000885009766,43.75867560669616,0.2683274115127008,42.72800064086914,44.297000885009766,43.840999603271484,44.09400177001953,44.154500312805176,182
qwen2.5-coder:1.5b,24,1.0,1.0,368.19,631.83,9456.57,8.308,0.625,116.25,75.62,エッジAIの利点を3点、日本語で簡潔に説明してください。 1. **低遅延**：エッジAIは、データを処理するための近い位置に配置することで、データが遅延なく処理される可能性があります。これにより、ユーザーの行動や情報の提供がリアルタイム…,length,,248.06,247.7,-0.37,6.42,100.0,35.61,36.3,2.0,2.0,0.0,True,True,19809.98,21626.46,8.808,16,27,length,,3.791239666357273,2.4080500439695807,0.0,9.523809432983398,4.878048419952393,7.317072868347168,9.230232257843031,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.32157570443502,10.827254949186157,0.0,100.0,88.0,100.0,100.0,28.461728361803726,0.14008960221185912,28.16611613027456,28.640693464906754,28.536734308631047,28.616353391897352,28.618575370117853,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2055.473780487805,10.117112376487944,2034.125,2068.3984375,2060.890625,2066.640625,2066.80109375,43.60025375180128,0.277468560057068,42.60200119018555,44.1195011138916,43.66399955749512,43.9424991607666,43.99300003051758,43.64504882068169,0.28085029341556744,42.678001403808594,44.14500045776367,43.68899917602539,43.99300003051758,44.14500045776367,43.55545868292087,0.2811282094412479,42.5260009765625,44.09400177001953,43.638999938964844,43.891998291015625,44.04399871826172,205
qwen2.5:1.5b,24,1.0,1.0,421.13,735.8,10851.75,7.323,0.604,111.25,76.62,低遅延：AI（人工知能）の能力が向上し、より迅速で効率的なデータ処理を可能にします。これに伴い、ユーザーとシステムの間の距離が短く、レスポンスが速くなる。 プライバシーライア：AI技術の発展は、個人の情報やデータの保護をᐈ保障するためのᐈ…,length,,267.45,266.79,-0.67,1.2,50.0,37.45,39.0,4.0,4.0,0.0,True,True,28483.61,28896.83,7.26,3,7,stop,,3.4691210752826627,2.6254728962169245,0.0,12.5,2.5641026496887207,7.317072868347168,9.756096839904785,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.90677959636106,9.043029675695411,0.0,100.0,88.0,100.0,100.0,38.2110866383111,0.08106871465171137,37.944713417275935,38.265515579539844,38.2470171240527,38.265515579539844,38.265515579539844,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2759.561391022246,5.854690736493302,2740.32421875,2763.4921875,2762.15625,2763.4921875,2763.4921875,43.93093859139135,0.4068965131028622,42.374000549316406,44.65049934387207,44.08150100708008,44.35362482070923,44.4810004234314,43.963432295847745,0.4012411573927351,42.5260009765625,44.599998474121094,44.09400177001953,44.448001861572266,44.531500053405765,43.89844488693496,0.41886795687215606,42.22200012207031,44.70100021362305,44.04399871826172,44.34700012207031,44.49614944458008,236
llama3.2:1b,24,1.0,1.0,428.69,678.57,10714.65,10.121,0.438,156.12,104.25,エッジAIの利点を3点に分解してみましょう! 1. **低遅延**: エッジAIは、データを取り戻すと、データが 1 分間遅延するよう設計されています。これは、ユーシー（ユーシー）という概念に相当します。ユーシーとは、データが遅延したとき…,length,,240.66,240.12,-0.55,8.46,100.0,33.78,34.8,2.0,2.0,0.0,True,True,17776.24,19268.0,10.726,16,20,length,,3.337747750875776,2.19960255730392,0.0,9.302325248718262,2.5641026496887207,7.142857551574707,8.667044486999526,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.01353549547973,8.725074332364594,0.0,100.0,88.0,92.30769348144531,100.0,23.065690161354112,0.043797235284374535,22.86409098211113,23.124800208567382,23.080609453792537,23.09824248446157,23.108735760381176,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,1665.7780143508583,3.1629867181819167,1651.21875,1670.046875,1666.85546875,1668.12890625,1668.88671875,43.30988626930335,0.3894824161393853,42.17199897766113,43.96799850463867,43.4109992980957,43.81599998474121,43.86650085449219,43.35035184933904,0.3883400217352081,42.172000885009766,44.04399871826172,43.4370002746582,43.86139907836914,43.94200134277344,43.26942068926766,0.3936306441105564,42.07099914550781,43.891998291015625,43.38600158691406,43.79100036621094,43.82499984741211,233
deepseek_r1:1.5b,24,1.0,1.0,1475.28,1524.04,23196.92,7.487,0.292,321.5,128,嗯，用户想要了解AEI的利点，而且要简明扼要地用英语回答。首先，我得明确AEI的主要优势有哪些。低延迟、隐私和可访问性是关键点。 低延迟意味着处理速度快，适合实时应用。隐私保护方面，数据只能在特定平台上使用，这样减少了泄露风险。可访问性方…,length,,225.57,224.99,-0.58,8.53,100.0,30.18,31.4,0.0,0.0,0.0,True,True,26112.12,28068.04,8.18,16,75,length,,3.316900220199232,2.3272746910726734,0.0,9.523809432983398,2.5641026496887207,7.317072868347168,7.716279449462899,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.11884511834857,9.002541086696738,0.0,100.0,88.0,100.0,100.0,34.45527313582444,0.09379479412451999,34.13716875188973,34.53180246894883,34.50118806600811,34.530612509823925,34.53180246894883,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2488.3207945051413,6.773753779757621,2465.34765625,2493.84765625,2491.63671875,2493.76171875,2493.84765625,41.38390878417498,1.6402493350831138,35.82299995422363,43.031999588012695,42.071001052856445,42.895500564575194,42.959001007080076,41.431550150971795,1.6419252015510526,35.89899826049805,43.132999420166016,42.12099838256836,42.930999755859375,43.03200149536133,41.33626741737817,1.6400709370363165,35.74700164794922,43.03200149536133,42.02000045776367,42.83000183105469,42.930999755859375,389
