model,runs,success_rate,nonempty_response_rate,mean_ttft_ms,p95_ttft_ms,mean_total_ms,mean_tokens_per_sec,mean_keyword_coverage,mean_response_chars,mean_eval_count,sample_response,dominant_done_reason,error_summary,mean_memory_before_mb,mean_memory_after_mb,mean_memory_delta_mb,mean_cpu_percent,max_cpu_percent,mean_memory_percent,max_memory_percent,mean_swap_after_mb,max_swap_after_mb,mean_swap_delta_mb,warmup_enabled,warmup_success,warmup_ttft_ms,warmup_total_ms,warmup_tokens_per_sec,warmup_eval_count,warmup_response_chars,warmup_done_reason,warmup_error,hailo_cpu_utilization_mean,hailo_cpu_utilization_std,hailo_cpu_utilization_min,hailo_cpu_utilization_max,hailo_cpu_utilization_p50,hailo_cpu_utilization_p95,hailo_cpu_utilization_p99,hailo_ddr_noc_total_transactions_mean,hailo_ddr_noc_total_transactions_std,hailo_ddr_noc_total_transactions_min,hailo_ddr_noc_total_transactions_max,hailo_ddr_noc_total_transactions_p50,hailo_ddr_noc_total_transactions_p95,hailo_ddr_noc_total_transactions_p99,hailo_dsp_utilization_mean,hailo_dsp_utilization_std,hailo_dsp_utilization_min,hailo_dsp_utilization_max,hailo_dsp_utilization_p50,hailo_dsp_utilization_p95,hailo_dsp_utilization_p99,hailo_nnc_utilization_mean,hailo_nnc_utilization_std,hailo_nnc_utilization_min,hailo_nnc_utilization_max,hailo_nnc_utilization_p50,hailo_nnc_utilization_p95,hailo_nnc_utilization_p99,hailo_ram_percent_mean,hailo_ram_percent_std,hailo_ram_percent_min,hailo_ram_percent_max,hailo_ram_percent_p50,hailo_ram_percent_p95,hailo_ram_percent_p99,hailo_ram_total_mb_mean,hailo_ram_total_mb_std,hailo_ram_total_mb_min,hailo_ram_total_mb_max,hailo_ram_total_mb_p50,hailo_ram_total_mb_p95,hailo_ram_total_mb_p99,hailo_ram_used_mb_mean,hailo_ram_used_mb_std,hailo_ram_used_mb_min,hailo_ram_used_mb_max,hailo_ram_used_mb_p50,hailo_ram_used_mb_p95,hailo_ram_used_mb_p99,hailo_temp_c_mean,hailo_temp_c_std,hailo_temp_c_min,hailo_temp_c_max,hailo_temp_c_p50,hailo_temp_c_p95,hailo_temp_c_p99,hailo_ts0_temp_c_mean,hailo_ts0_temp_c_std,hailo_ts0_temp_c_min,hailo_ts0_temp_c_max,hailo_ts0_temp_c_p50,hailo_ts0_temp_c_p95,hailo_ts0_temp_c_p99,hailo_ts1_temp_c_mean,hailo_ts1_temp_c_std,hailo_ts1_temp_c_min,hailo_ts1_temp_c_max,hailo_ts1_temp_c_p50,hailo_ts1_temp_c_p95,hailo_ts1_temp_c_p99,hailo_telemetry_measurement_count
qwen3:1.7b,24,1.0,1.0,659.88,841.42,13225.48,4.89,0.708,87.88,61.38,- 低遅延：エッジAIはリアルタイムで迅速に処理できるため、低遅延通信を確保し、ユーザーの体験を向上させます。 - プライバシー：エッジAIはデータをクラウドに移し、プライバシーを確保し、個人情報の保護を強化しています。 - オフライン：…,stop,,302.83,294.38,-8.45,4.27,100.0,2.58,3.8,0.0,0.0,0.0,True,True,33142.09,36229.76,5.182,16,24,length,,2.7370455323196037,2.8183843880023347,0.0,11.904762268066406,2.5,7.317072868347168,7.500000476837158,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.97507366486127,10.953142007314856,0.0,100.0,92.0,100.0,100.0,46.07569450610214,0.11706634042483692,45.801580806608385,46.21222488280255,46.14282863020019,46.20124480542275,46.212116704700286,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3327.534462108014,8.454398491267934,3307.73828125,3337.39453125,3332.3828125,3336.6015625,3337.38671875,42.27418462241568,0.24545731674713833,41.41300010681152,42.75349998474121,42.3745002746582,42.5004997253418,42.631000480651856,42.48410093992014,0.24185805974060692,41.66600036621094,43.03200149536133,42.57699966430664,42.77899932861328,42.880001068115234,42.064268304911224,0.25529384533922195,41.11000061035156,42.5260009765625,42.172000885009766,42.27299880981445,42.38114036560059,287
qwen2:1.5b,24,1.0,1.0,365.61,632.53,8375.75,8.275,0.646,101.38,66.5,エッジAIは、リアルタイムでデータを処理し、リアルタイムで結果を提供する技術です。これにより、一般的に「低遅延」、「プライバシー」「オフライン」という点では優れています。 1. 低遅延: エッジAIは、リアルタイムでデータを処理し、その結…,stop,,305.43,296.84,-8.59,4.33,100.0,2.58,3.8,0.0,0.0,0.0,True,True,20944.42,21673.04,8.235,6,10,stop,,3.745462927189502,2.3190294882308913,0.0,9.523809432983398,3.66300368309021,7.317072868347168,7.736352815628047,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.41081979772547,10.270176322126432,0.0,100.0,88.0,100.0,100.0,27.92316416098939,0.04542111587429646,27.771752858471128,27.95484429655296,27.948191343263723,27.95159895348504,27.95484429655296,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2016.5792839972528,3.2802615348338926,2005.64453125,2018.8671875,2018.38671875,2018.6328125,2018.8671875,42.663977947863906,0.22536288136833021,41.74199867248535,43.05699920654297,42.72824954986572,42.90550031661987,43.01125017166137,42.89924726381407,0.23713765715355525,42.07099914550781,43.334999084472656,42.98099899291992,43.183998107910156,43.334999084472656,42.42870863191374,0.2194177425226022,41.41299819946289,42.880001068115234,42.474998474121094,42.678001403808594,42.737690391540525,182
qwen2.5-coder:1.5b,24,1.0,1.0,379.68,714.84,9458.28,8.317,0.625,116.25,75.62,エッジAIの利点を3点、日本語で簡潔に説明してください。 1. **低遅延**：エッジAIは、データを処理するための近い位置に配置することで、データが遅延なく処理される可能性があります。これにより、ユーザーの行動や情報の提供がリアルタイム…,length,,299.87,292.38,-7.49,6.34,100.0,2.54,3.6,0.0,0.0,0.0,True,True,19787.49,21606.05,8.798,16,27,length,,3.822832805354421,2.366428543670731,0.0,10.0,4.878048419952393,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.70656648961508,9.932136470520357,0.0,100.0,88.0,100.0,100.0,28.4825019874758,0.05961520445089587,28.24925100186445,28.57032360938402,28.486756025385073,28.551987421050267,28.57032360938402,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2056.9740282012194,4.305342532594925,2040.12890625,2063.31640625,2057.28125,2061.9921875,2063.31640625,42.90468064284906,0.1613905982832882,42.27299880981445,43.23400115966797,42.930999755859375,43.107500076293945,43.20698150634766,43.13923885066335,0.15585643417335535,42.474998474121094,43.4370002746582,43.183998107910156,43.334999084472656,43.38600158691406,42.67012243503478,0.17696634248718315,42.07099914550781,43.082000732421875,42.678001403808594,42.880001068115234,43.02996139526367,205
qwen2.5:1.5b,24,1.0,1.0,423.88,737.34,10903.73,7.291,0.604,111.25,76.62,低遅延：AI（人工知能）の能力が向上し、より迅速で効率的なデータ処理を可能にします。これに伴い、ユーザーとシステムの間の距離が短く、レスポンスが速くなる。 プライバシーライア：AI技術の発展は、個人の情報やデータの保護をᐈ保障するためのᐈ…,length,,311.28,296.41,-14.87,4.29,100.0,2.58,4.7,0.0,0.0,0.0,True,True,28476.62,28892.52,7.213,3,7,stop,,3.245154192679039,2.4872032218492346,0.0,11.627907752990723,2.5641026496887207,7.317072868347168,8.795238208770725,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.33008765369527,8.74213696130263,0.0,100.0,88.0,100.0,100.0,38.1101460353943,0.023235464004880576,37.995611214391154,38.149765010117356,38.11606753126212,38.12845392397135,38.13974339072362,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2752.2715750263715,1.678038889008423,2744.0,2755.1328125,2752.69921875,2753.59375,2754.4090625,42.946097192885,0.37441241548821746,41.31199836730957,43.5885009765625,43.08250045776367,43.33549880981445,43.51249885559082,43.179367162004304,0.37901211746738905,41.564998626708984,43.840999603271484,43.28499984741211,43.638999938964844,43.77264083862305,42.7128272237657,0.3771815391247447,41.058998107910156,43.38600158691406,42.83000183105469,43.092200469970706,43.183998107910156,237
llama3.2:1b,24,1.0,1.0,439.58,763.98,10720.99,10.126,0.438,156.12,104.25,エッジAIの利点を3点に分解してみましょう! 1. **低遅延**: エッジAIは、データを取り戻すと、データが 1 分間遅延するよう設計されています。これは、ユーシー（ユーシー）という概念に相当します。ユーシーとは、データが遅延したとき…,length,,294.81,286.79,-8.02,5.38,100.0,2.54,3.7,0.0,0.0,0.0,True,True,17664.25,19153.33,10.745,16,20,length,,3.594782915238147,1.9754670244918386,0.0,12.195121765136719,2.5641026496887207,7.142857551574707,7.317072868347168,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.63453248642033,9.298974352666448,0.0,100.0,88.0,92.30769348144531,100.0,23.646952229727,0.058977150819239044,23.462586332886737,23.722538312627144,23.66038999287647,23.70998965276452,23.72066899502002,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,1707.7561024678112,4.259263022111797,1694.44140625,1713.21484375,1708.7265625,1712.30859375,1713.07984375,43.53674683959699,0.3053152441048187,42.298500061035156,43.942501068115234,43.61400032043457,43.81599998474121,43.8838404083252,43.76046790585497,0.31253686839531314,42.5260009765625,44.297000885009766,43.840999603271484,44.09400177001953,44.14500045776367,43.31302577333901,0.30353116276226144,42.07099914550781,43.68899917602539,43.38600158691406,43.5880012512207,43.62268035888672,233
deepseek_r1:1.5b,24,1.0,1.0,1489.25,1532.53,18100.28,7.706,0.292,321.5,128,嗯，用户想要了解AEI的利点，而且要简明扼要地用英语回答。首先，我得明确AEI的主要优势有哪些。低延迟、隐私和可访问性是关键点。 低延迟意味着处理速度快，适合实时应用。隐私保护方面，数据只能在特定平台上使用，这样减少了泄露风险。可访问性方…,length,,279.14,271.32,-7.82,2.29,100.0,2.44,3.5,0.0,0.0,0.0,True,True,26614.27,28586.58,8.112,16,75,length,,3.3949987093607583,2.4531278343317524,0.0,9.756096839904785,2.5641026496887207,7.317072868347168,7.821109333038304,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.78899983413346,13.998848663796307,0.0,100.0,88.0,100.0,100.0,34.32837877762596,0.07719787765668162,34.1264591197656,34.50784101929735,34.326155896544954,34.50784101929735,34.50784101929735,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2479.156627703562,5.5751432736447155,2464.57421875,2492.1171875,2478.99609375,2492.1171875,2492.1171875,42.438203588393506,1.001587362576557,38.605499267578125,43.5629997253418,42.70300102233887,43.360998916625974,43.51450073242187,42.66090845394377,1.0011694260715456,38.933998107910156,43.94200134277344,42.930999755859375,43.5880012512207,43.840999603271484,42.215498722843236,1.004532919127692,38.277000427246094,43.38600158691406,42.474998474121094,43.183998107910156,43.28499984741211,393
