model,runs,success_rate,nonempty_response_rate,mean_ttft_ms,p95_ttft_ms,mean_total_ms,mean_tokens_per_sec,mean_keyword_coverage,mean_response_chars,mean_eval_count,sample_response,dominant_done_reason,error_summary,mean_memory_before_mb,mean_memory_after_mb,mean_memory_delta_mb,mean_cpu_percent,max_cpu_percent,mean_memory_percent,max_memory_percent,mean_swap_after_mb,max_swap_after_mb,mean_swap_delta_mb,warmup_enabled,warmup_success,warmup_ttft_ms,warmup_total_ms,warmup_tokens_per_sec,warmup_eval_count,warmup_response_chars,warmup_done_reason,warmup_error,hailo_cpu_utilization_mean,hailo_cpu_utilization_std,hailo_cpu_utilization_min,hailo_cpu_utilization_max,hailo_cpu_utilization_p50,hailo_cpu_utilization_p95,hailo_cpu_utilization_p99,hailo_ddr_noc_total_transactions_mean,hailo_ddr_noc_total_transactions_std,hailo_ddr_noc_total_transactions_min,hailo_ddr_noc_total_transactions_max,hailo_ddr_noc_total_transactions_p50,hailo_ddr_noc_total_transactions_p95,hailo_ddr_noc_total_transactions_p99,hailo_dsp_utilization_mean,hailo_dsp_utilization_std,hailo_dsp_utilization_min,hailo_dsp_utilization_max,hailo_dsp_utilization_p50,hailo_dsp_utilization_p95,hailo_dsp_utilization_p99,hailo_nnc_utilization_mean,hailo_nnc_utilization_std,hailo_nnc_utilization_min,hailo_nnc_utilization_max,hailo_nnc_utilization_p50,hailo_nnc_utilization_p95,hailo_nnc_utilization_p99,hailo_ram_percent_mean,hailo_ram_percent_std,hailo_ram_percent_min,hailo_ram_percent_max,hailo_ram_percent_p50,hailo_ram_percent_p95,hailo_ram_percent_p99,hailo_ram_total_mb_mean,hailo_ram_total_mb_std,hailo_ram_total_mb_min,hailo_ram_total_mb_max,hailo_ram_total_mb_p50,hailo_ram_total_mb_p95,hailo_ram_total_mb_p99,hailo_ram_used_mb_mean,hailo_ram_used_mb_std,hailo_ram_used_mb_min,hailo_ram_used_mb_max,hailo_ram_used_mb_p50,hailo_ram_used_mb_p95,hailo_ram_used_mb_p99,hailo_temp_c_mean,hailo_temp_c_std,hailo_temp_c_min,hailo_temp_c_max,hailo_temp_c_p50,hailo_temp_c_p95,hailo_temp_c_p99,hailo_ts0_temp_c_mean,hailo_ts0_temp_c_std,hailo_ts0_temp_c_min,hailo_ts0_temp_c_max,hailo_ts0_temp_c_p50,hailo_ts0_temp_c_p95,hailo_ts0_temp_c_p99,hailo_ts1_temp_c_mean,hailo_ts1_temp_c_std,hailo_ts1_temp_c_min,hailo_ts1_temp_c_max,hailo_ts1_temp_c_p50,hailo_ts1_temp_c_p95,hailo_ts1_temp_c_p99,hailo_telemetry_measurement_count
qwen3:1.7b,24,1.0,1.0,661.49,840.04,13178.98,4.912,0.708,87.88,61.38,- 低遅延：エッジAIはリアルタイムで迅速に処理できるため、低遅延通信を確保し、ユーザーの体験を向上させます。 - プライバシー：エッジAIはデータをクラウドに移し、プライバシーを確保し、個人情報の保護を強化しています。 - オフライン：…,stop,,291.09,286.45,-4.64,7.44,100.0,4.76,6.1,0.0,0.0,0.0,True,True,33504.28,36585.96,5.192,16,24,length,,2.8338026600284176,2.866461068162993,0.0,9.756096839904785,2.5,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.94782131701916,9.86792670403409,0.0,100.0,92.0,100.0,100.0,46.64623883329176,0.09210786288462644,46.45367840705581,46.756901627701815,46.685558169258705,46.756414826241624,46.756901627701815,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,3368.738527097902,6.651925516589251,3354.83203125,3376.73046875,3371.578125,3376.6953125,3376.73046875,43.40153330689544,0.26802417685458324,42.44999885559082,43.867000579833984,43.48700141906738,43.66400146484375,43.74007635116577,43.67797926255873,0.277017607908839,42.678001403808594,44.297000885009766,43.7400016784668,43.99300003051758,44.09400177001953,43.12508735123214,0.2655184012031566,42.12099838256836,43.48699951171875,43.23400115966797,43.38600158691406,43.4370002746582,286
qwen2:1.5b,24,1.0,1.0,364.53,633.82,8384.66,8.269,0.646,101.38,66.5,エッジAIは、リアルタイムでデータを処理し、リアルタイムで結果を提供する技術です。これにより、一般的に「低遅延」、「プライバシー」「オフライン」という点では優れています。 1. 低遅延: エッジAIは、リアルタイムでデータを処理し、その結…,stop,,289.48,285.51,-3.97,10.63,100.0,4.76,5.8,0.0,0.0,0.0,True,True,20945.93,21675.89,8.22,6,10,stop,,4.431622120050283,2.6468498799600093,0.0,11.904762268066406,5.0,9.203062629699684,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.17328819861778,10.332445185205719,0.0,100.0,88.0,100.0,100.0,28.433139213276423,0.07453239266178179,28.296633010656087,28.506444439997125,28.424607705634404,28.505254480872217,28.506444439997125,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2053.4091045673076,5.382644966807851,2043.55078125,2058.703125,2052.79296875,2058.6171875,2058.703125,43.70452484717736,0.23330143033444847,42.70300102233887,44.0939998626709,43.76550102233887,43.99172496795654,44.06850051879883,44.00665411058363,0.2518648402726539,43.03200149536133,44.54899978637695,44.09400177001953,44.297000885009766,44.467191467285154,43.40239558377109,0.2224068220643282,42.374000549316406,43.94200134277344,43.48699951171875,43.638999938964844,43.7400016784668,182
qwen2.5-coder:1.5b,24,1.0,1.0,369.9,634.86,9482.96,8.27,0.625,116.25,75.62,エッジAIの利点を3点、日本語で簡潔に説明してください。 1. **低遅延**：エッジAIは、データを処理するための近い位置に配置することで、データが遅延なく処理される可能性があります。これにより、ユーザーの行動や情報の提供がリアルタイム…,length,,286.5,279.19,-7.31,7.44,100.0,4.67,6.8,0.0,0.0,0.0,True,True,20010.59,21833.21,8.779,16,27,length,,3.8393243736433753,2.425044512700359,0.0,11.627907752990723,4.878048419952393,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.59073924092414,8.289307012394902,0.0,100.0,88.0,100.0,100.0,28.393445322840712,0.056619348177662066,28.248061042739547,28.47052931004547,28.4124376691297,28.45681773558351,28.467878946540004,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2050.5424567657765,4.088985186285367,2040.04296875,2056.109375,2051.9140625,2055.119140625,2055.91796875,43.75495881015814,0.17813601941267743,43.10799980163574,44.19550132751465,43.79050064086914,43.98675012588501,44.11570110321045,44.05346627837246,0.19340124880620294,43.38600158691406,44.6510009765625,44.09400177001953,44.297000885009766,44.448001861572266,43.45645134194383,0.17425570542709826,42.77899932861328,43.99300003051758,43.48699951171875,43.68899917602539,43.79100036621094,206
qwen2.5:1.5b,24,1.0,1.0,427.23,736.65,10897.95,7.296,0.604,111.25,76.62,低遅延：AI（人工知能）の能力が向上し、より迅速で効率的なデータ処理を可能にします。これに伴い、ユーザーとシステムの間の距離が短く、レスポンスが速くなる。 プライバシーライア：AI技術の発展は、個人の情報やデータの保護をᐈ保障するためのᐈ…,length,,292.27,284.38,-7.88,9.51,100.0,4.77,7.0,0.0,0.0,0.0,True,True,28584.02,28999.08,7.228,3,7,stop,,3.480075859319309,2.319054197412726,0.0,9.523809432983398,2.5641026496887207,7.317072868347168,8.729384269714325,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.30834149710739,8.702273085941215,0.0,100.0,88.0,100.0,100.0,38.1792193512568,0.09239631976447724,37.962887338456284,38.33199102338107,38.158473347349606,38.328583413159755,38.33199102338107,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2757.259971650844,6.672757545684572,2741.63671875,2768.29296875,2755.76171875,2768.046875,2768.29296875,43.96278055408333,0.40210995355553925,42.32400131225586,44.65049934387207,44.144500732421875,44.37209968566894,44.44831977844238,44.27343049834046,0.4220028677793204,42.678001403808594,45.05500030517578,44.448001861572266,44.71119995117188,44.85300064086914,43.652130609826195,0.38851597726513054,41.970001220703125,44.24599838256836,43.79100036621094,44.04399871826172,44.176999969482424,237
llama3.2:1b,24,1.0,1.0,428.62,679.18,10718.55,10.119,0.438,156.12,104.25,エッジAIの利点を3点に分解してみましょう! 1. **低遅延**: エッジAIは、データを取り戻すと、データが 1 分間遅延するよう設計されています。これは、ユーシー（ユーシー）という概念に相当します。ユーシーとは、データが遅延したとき…,length,,281.9,274.03,-7.87,3.21,100.0,4.6,6.9,0.0,0.0,0.0,True,True,17810.31,19299.55,10.744,16,20,length,,3.6808249438781084,1.9884312073263377,0.0,9.756096839904785,2.5641026496887207,7.142857551574707,7.317072868347168,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.97259803084344,8.081227021808632,0.0,100.0,88.0,92.30769348144531,100.0,23.49007285653581,0.13242951608990158,23.286039669991883,23.71036827612244,23.460585037994854,23.70003726735623,23.70927784085162,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,1696.4264518508583,9.563909634201519,1681.69140625,1712.3359375,1694.296875,1711.58984375,1712.2571875,44.2143367227055,0.16909118810270865,43.4109992980957,44.499000549316406,44.24599838256836,44.3979995727539,44.49099876403809,44.54076375674792,0.1924662520950867,43.68899917602539,44.95399856567383,44.599998474121094,44.801998138427734,44.887679748535156,43.88790968866307,0.15489835648960865,43.132999420166016,44.14500045776367,43.94200134277344,44.04399871826172,44.09400177001953,233
deepseek_r1:1.5b,24,1.0,1.0,1471.46,1478.43,18045.33,7.723,0.292,321.5,128,嗯，用户想要了解AEI的利点，而且要简明扼要地用英语回答。首先，我得明确AEI的主要优势有哪些。低延迟、隐私和可访问性是关键点。 低延迟意味着处理速度快，适合实时应用。隐私保护方面，数据只能在特定平台上使用，这样减少了泄露风险。可访问性方…,length,,261.54,256.45,-5.09,5.41,100.0,4.36,5.8,0.0,0.0,0.0,True,True,25968.49,27934.8,8.137,16,75,length,,3.5955814260351078,2.7036409310099225,0.0,11.627907752990723,2.5641026496887207,7.317072868347168,9.523809432983398,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.64764892109825,9.597574039566796,0.0,100.0,88.0,100.0,100.0,34.36890174047817,0.04909791595024957,34.11715580297089,34.43487488932028,34.38478842797205,34.422380318508786,34.43487488932028,7221.88671875,0.0,7221.88671875,7221.88671875,7221.88671875,7221.88671875,7221.88671875,2482.083150175831,3.5457958711941244,2463.90234375,2486.84765625,2483.23046875,2485.9453125,2486.84765625,42.99777878275918,1.4027044550057517,38.07399940490723,44.60050010681152,43.56300163269043,44.2839994430542,44.39755077362061,43.27716376653413,1.4281302534895557,38.32699966430664,44.90399932861328,43.840999603271484,44.599998474121094,44.75199890136719,42.71839379898422,1.3788325519722562,37.82099914550781,44.297000885009766,43.28499984741211,43.99300003051758,44.09400177001953,391
